Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Walking duration (ms),Running duration (ms)
2023-05-28,58,1787.24115125906,3872.3093430117697,41.0,34,,,,,0.6009756893352454,1.8776223102513134,0.2601036049668073,6139,,,,,3654469,
2023-05-29,110,1918.6415848847557,5475.381546911973,44.0,44,,,,,0.9480757232147493,13.5,0.2601036049668073,9167,,,,,5695811,
2023-05-30,94,1855.1697494765974,4592.743814806107,34.0,34,,,,,0.6514132246017608,1.3865894710126356,0.2504701381161848,7902,,,,,4709773,
2023-05-31,185,2282.844324790085,9884.408530390412,93.0,90,,,,,1.6462501784926038,19.200000762939453,0.2549353735923823,16077,,,,423625,10901595,
2023-06-01,27,1652.574916351713,224.72663326641694,22.0,22,,,,,0.6596258343338992,1.308659449428853,0.26046599041368546,748,,,,1405432,62397,
2023-06-02,71,1812.975825006668,2391.426551563844,42.0,38,,,,,0.5640630774694909,1.8617431022809035,0.2601036049668073,3985,,,,1571538,2375683,
2023-06-03,8,1595.2826518222316,277.23668883951325,,,,,,,0.5690554701610516,1.1021720771351824,0.2697370718174298,628,,,,,672400,
2023-06-04,32,1679.5742592871643,1825.4955323613083,15.0,15,,,,,0.43861072587310895,1.2355762234130725,0.28900398085700174,3131,,,,,1981878,
2023-06-05,49,1692.8648348573633,2325.967609986385,17.0,17,,,,,0.41331321830198403,1.3378992814871127,0.24611046698670602,4149,,,,,2188350,
2023-06-06,101,1881.1492346795737,4314.617835775142,27.0,27,,,,,0.6607264177734862,1.478713787254999,0.2504701381161848,7350,,,,,5113369,
2023-06-07,129,2023.5734056925119,6528.052893544305,49.0,49,,,,,0.5111450501595378,1.250912978245931,0.2504701381161848,10841,,,,,7325943,
2023-06-08,19,1613.063381950462,783.9267959986029,2.0,2,,,,,0.5910236458458358,1.1036665154515815,0.2697370718174298,1414,,,,,948625,
2023-06-09,12,1594.2957862958667,599.3383099450143,4.0,4,,,,,0.3868835532765753,1.5616605437173403,0.2890039775243436,1149,,,,,657068,
2023-06-10,12,1580.3488163762374,624.2402728547019,4.0,4,,,,,0.699978698116581,1.5155485989967288,0.24772844272022523,1004,,,,,440402,
2023-06-11,1,1555.384029632835,52.59872900439881,,,,,,,0.5626626972658018,0.5626626972658018,0.5626626972658018,138,,,,,52571,
2023-06-12,44,1698.7822264839128,2084.3243895810824,12.0,12,,,,,0.6245872271251525,1.1800857572028733,0.2601036049668073,3476,,,,,2280277,
2023-06-13,39,1685.692445815302,2088.5290877715524,12.0,12,,,,,0.4498271906656949,1.597334949821074,0.2601036049668073,3476,,,,,2076925,
2023-06-14,56,1697.2994226350606,2802.1387759037166,21.0,17,,,,,0.5909165469292686,1.7299557524043534,0.2504701381161848,4527,,,,,2257240,
2023-06-15,101,1924.9759843206787,6885.876484145981,82.0,70,,,,,0.6483910538767211,1.9884133052848973,0.2600711080667643,10668,,,,,5794220,
2023-06-16,118,1919.1487642098195,5875.639727576218,48.0,46,,,,,0.5724107008806713,1.6961145976560847,0.2697370718174298,9677,,,,,5703692,
2023-06-17,25,1644.9916902458185,876.3125213817082,7.0,7,,,,,0.4995782511376802,1.1962796206468704,0.2504701381161848,1664,,,,323453,1099408,
2023-06-18,47,1750.264551158501,2260.092633522792,14.0,12,,,,,0.9659744852647074,2.1902665748417673,0.2504701381161848,3747,,,,,3080059,
2023-06-19,54,1735.6711664261932,3130.0607801969772,31.0,29,,,,,0.754626787257909,3.102623890728192,0.2697370718174298,5052,,,,,2700203,68205
2023-06-20,14,1632.2546582739405,1200.9297270136133,17.0,10,,,,,1.1853987315320926,1.9774547655469394,0.2793705386680523,1705,,,,,579160,291746
2023-06-21,67,1807.0806706021542,3422.2496228828068,13.0,13,13.785358428955078,121.07321166992188,13.78662395477295,121.07471466064453,0.5444927364076564,1.3881114802122885,0.2890039920668526,5665,,,,,3962703,
2023-06-22,36,1633.6912811826476,1803.3499480998016,14.0,11,,,,,2.2059757474799344,12.81330394744873,0.28900398085700174,3021,,,,,1261408,
2023-06-23,3,1552.0000149011616,182.8983950676512,,,,,,,0.4241802730681563,0.8687781522888363,0.2697370718174298,527,,,,,,
2023-06-24,3,1558.5397226614173,160.94717838538662,,,,,,,0.9163835030295274,10.568918228149414,0.2601036049668073,402,,,,,101595,
